analyst,view_count,stock_code,stock_name,action,published_date,next_trading_day,video_id
郭哲榮分析師-摩爾證券投顧,27080,0050,元大台灣50,買進,2025-07-05,2025-07-07,9nsDvbdO_9s
郭哲榮分析師-摩爾證券投顧,27080,2317,鴻海,買進,2025-07-05,2025-07-07,9nsDvbdO_9s
郭哲榮分析師-摩爾證券投顧,27080,2330,台積電,買進,2025-07-05,2025-07-07,9nsDvbdO_9s
郭哲榮分析師-摩爾證券投顧,27080,2382,廣達,買進,2025-07-05,2025-07-07,9nsDvbdO_9s
郭哲榮分析師-摩爾證券投顧,26859,2382,廣達,買進,2025-07-14,2025-07-15,wGP2c2oV1QQ
郭哲榮分析師-摩爾證券投顧,26859,2603,長榮,買進,2025-07-14,2025-07-15,wGP2c2oV1QQ
郭哲榮分析師-摩爾證券投顧,26859,2637,慧洋-KY,買進,2025-07-14,2025-07-15,wGP2c2oV1QQ
郭哲榮分析師-摩爾證券投顧,26859,5347,世界先進積體電路股份有限公司,買進,2025-07-14,2025-07-15,wGP2c2oV1QQ
郭哲榮分析師-摩爾證券投顧,26859,6531,愛普*,買進,2025-07-14,2025-07-15,wGP2c2oV1QQ
郭哲榮分析師-摩爾證券投顧,14686,2330,台積電,買進,2025-07-15,2025-07-16,oBw_VRvMwMo
郭哲榮分析師-摩爾證券投顧,14686,3189,景碩,買進,2025-07-15,2025-07-16,oBw_VRvMwMo
郭哲榮分析師-摩爾證券投顧,14686,3231,緯創,買進,2025-07-15,2025-07-16,oBw_VRvMwMo
鐘崑禎分析師_摩爾證券投顧,61606,1815,富喬工業股份有限公司,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,2317,鴻海,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,2330,台積電,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,2355,敬鵬,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,2454,聯發科,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,3044,健鼎,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,5340,建榮工業材料股份有限公司,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,61606,8996,高力,買進,2025-07-25,2025-07-28,7ivJ70x3hb8
鐘崑禎分析師_摩爾證券投顧,48171,2313,華通,買進,2025-07-29,2025-07-30,7fUdoIr4SVA
鐘崑禎分析師_摩爾證券投顧,48171,2317,鴻海,買進,2025-07-29,2025-07-30,7fUdoIr4SVA
