code,name,english_name
0050,元大台灣50,Yuanta Taiwan 50
0056,元大高股息,Yuanta High Dividend
00878,國泰永續高股息,Cathay ESG ETF
00929,復華台灣科技優息,Fuh Hwa Taiwan Tech Dividend
1101,臺灣水泥股份有限公司,TCC
1102,亞洲水泥股份有限公司,ACC
1103,嘉新水泥股份有限公司,CHC
1104,環球水泥股份有限公司,UCC
1108,幸福水泥股份有限公司,LUCKY CEMENT
1109,信大水泥股份有限公司,HsingTa
1110,東南水泥股份有限公司,SE CEMENT
1201,味全食品工業股份有限公司,WEI CHUAN
1203,味王股份有限公司,VE WONG
1210,大成長城企業股份有限公司,GREATWALL
1213,大西洋飲料股份有限公司,OCEANIC Bev.
1215,台灣卜蜂企業股份有限公司,CPE
1216,統一企業股份有限公司,UNI-PRESIDENT
1217,愛之味股份有限公司,AGV
1218,泰山企業股份有限公司,TAISUN
1219,福壽實業股份有限公司,FWUSOW
1220,台榮產業股份有限公司,TAIROUN
1225,福懋油脂股份有限公司,FOPCO
1227,佳格食品股份有限公司,SFC
1229,聯華實業控股股份有限公司,LHIHC
1231,聯華食品工業股份有限公司,Lian Hwa Foods
1232,大統益股份有限公司,TTET
1233,天仁茶業股份有限公司,Ten Ren
1234,黑松股份有限公司,HEY SONG
1235,興泰實業股份有限公司,ST
1236,宏亞食品股份有限公司,Hunya
1240,茂生農經股份有限公司,茂生農經
1256,鮮活控股股份有限公司,Sunjuice
1259,安心食品服務股份有限公司,安心
1264,德麥食品股份有限公司,德麥
1268,漢來美食股份有限公司,漢來美食
1294,漢田生技股份有限公司,漢田生技
1295,生合生物科技股份有限公司,生合
1301,台灣塑膠工業股份有限公司,FPC
1303,南亞塑膠工業股份有限公司,NPC
1304,台灣聚合化學品股份有限公司,USI
1305,華夏海灣塑膠股份有限公司,CGPC
1307,三芳化學工業股份有限公司,SAN FANG
1308,亞洲聚合股份有限公司,APC
1309,台達化學工業股份有限公司,TTC
1310,台灣苯乙烯工業股份有限公司,T.S.M.C.
1312,國喬石油化學股份有限公司,GPPC
1313,聯成化學科技股份有限公司,UPC
1314,中國石油化學工業開發(股)公司,CPDC
