code,name,english_name
1240,茂生農經股份有限公司,茂生農經
1259,安心食品服務股份有限公司,安心
1264,德麥食品股份有限公司,德麥
1268,漢來美食股份有限公司,漢來美食
1294,漢田生技股份有限公司,漢田生技
1295,生合生物科技股份有限公司,生合
1336,台翰精密科技股份有限公司,台翰
1565,精華光學股份有限公司,精華
1569,濱川企業股份有限公司,濱川
1570,力肯實業股份有限公司,力肯
1580,新麥企業股份有限公司,新麥
1584,精剛精密科技股份有限公司,精剛
1586,和勤精機股份有限公司,和勤
1591,英屬開曼群島商駿吉控股(股)公司,駿吉-KY
1593,祺驊股份有限公司,祺驊
1595,川寶科技股份有限公司,川寶
1599,宏佳騰動力科技股份有限公司,宏佳騰
1742,台灣蠟品股份有限公司,台蠟
1777,生泰合成工業股份有限公司,生泰
1781,合世生醫科技股份有限公司,合世
1784,訊聯生物科技股份有限公司,訊聯
1785,光洋應用材料科技股份有限公司,光洋科
1788,杏昌生技股份有限公司,杏昌
1796,金穎生物科技股份有限公司,金穎生技
1799,易威生醫科技股份有限公司,易威
1813,寶利徠光學科技股份有限公司,寶利徠
1815,富喬工業股份有限公司,富喬
2035,唐榮鐵工廠股份有限公司,唐榮公司
2061,風青實業股份有限公司,風青
2063,世鎧精密股份有限公司,世鎧精密
2064,晉椿工業股份有限公司,晉椿
2065,世豐螺絲股份有限公司,世豐
2066,世德工業股份有限公司,世德
2067,嘉鋼精密工業股份有限公司,嘉鋼
2070,精湛光學科技股份有限公司,精湛
2073,雄順金屬股份有限公司,雄順
2221,大甲永和機械工業股份有限公司,大甲
2230,泰茂實業股份有限公司,泰茂
2235,謚源實業股份有限公司,謚源
2596,綠意開發股份有限公司,綠意
2640,台灣大車隊股份有限公司,大車隊
2641,正德海運股份有限公司,正德
2643,捷迅股份有限公司,捷迅
2718,全心投資控股股份有限公司,全心投控
2719,台鋼燦星國際旅行社股份有限公司,燦星旅
2724,藝舍國際創新股份有限公司,藝舍-KY
2726,雅茗天地股份有限公司,雅茗-KY
2729,瓦城泰統股份有限公司,瓦城
2732,六角國際事業股份有限公司,六角
2734,易飛網國際旅行社股份有限公司,易飛網
2736,富野大飯店股份有限公司,富野
2740,華軒地產股份有限公司,華軒
2743,山富國際旅行社股份有限公司,山富
2745,五福旅行社股份有限公司,五福
2751,王座國際餐飲股份有限公司,王座
2752,豆府股份有限公司,豆府
2754,亞洲藏壽司股份有限公司,亞洲藏壽司
2755,揚秦國際企業股份有限公司,揚秦
2756,聯發國際餐飲事業股份有限公司,聯發國際
2916,滿心企業股份有限公司,滿心
2924,開曼群島宏太股份有限公司,宏太-KY
2926,誠品生活股份有限公司,誠品生活
2937,集雅社股份有限公司,集雅社
2941,米斯特國際企業股份有限公司,米斯特
2947,振宇五金股份有限公司,振宇五金
2948,寶陞國際股份有限公司,寶陞
2949,欣新網股份有限公司,欣新網
3064,泰偉電子股份有限公司,泰偉
3066,李洲科技股份有限公司,李洲
3067,全域股份有限公司,全域
3071,協禧電機股份有限公司,協禧
3073,天方能源科技股份有限公司,天方能源
3078,僑威科技股份有限公司,僑威
3081,聯亞光電工業股份有限公司,聯亞
3083,中華網龍股份有限公司,網龍
3085,台鋼新零售股份有限公司,新零售
3086,華義國際數位娛樂股份有限公司,華義
3088,艾訊股份有限公司,艾訊
3093,台灣港建股份有限公司,港建*
3095,及成企業股份有限公司,及成
3105,穩懋半導體股份有限公司,穩懋
3114,好德科技股份有限公司,好德
3115,富育榮綱股份有限公司,富榮綱
3118,進階生物科技股份有限公司,進階
3122,笙泉科技股份有限公司,笙泉
3128,昇銳智慧科技股份有限公司,昇銳
3131,弘塑科技股份有限公司,弘塑
3141,晶宏半導體股份有限公司,晶宏
3147,大綜電腦系統股份有限公司,大綜
3152,璟德電子工業股份有限公司,璟德
3158,嘉實資訊股份有限公司,嘉實
3162,精確實業股份有限公司,精確
3163,波若威科技股份有限公司,波若威
3169,亞信電子股份有限公司,亞信
3171,炎洲流通股份有限公司,炎洲流通
3176,基亞生物科技股份有限公司,基亞
3178,公準精密工業股份有限公司,公準
3188,鑫龍騰開發股份有限公司,鑫龍騰
3191,雲嘉南科技股份有限公司,雲嘉南
3205,佰研生化科技股份有限公司,佰研
3206,志豐電子股份有限公司,志豐
3207,耀勝電子股份有限公司,耀勝
3211,順達科技股份有限公司,順達
3213,茂訊電腦股份有限公司,茂訊
3217,優群科技股份有限公司,優群
3218,大學光學科技股份有限公司,大學光
3219,倚強科技股份有限公司,倚強科
3221,台灣嘉碩科技股份有限公司,台嘉碩
3224,三顧股份有限公司,三顧
3226,龍鋒科技股份有限公司,龍鋒
3227,原相科技股份有限公司,原相
3228,金麗科技股份有限公司,金麗科
3230,錦明實業股份有限公司,錦明
3232,昱捷股份有限公司,昱捷
3234,光環科技股份有限公司,光環
3236,千如電機工業股份有限公司,千如
3252,海灣國際開發(股)公司,海灣
